ngiemboon,en,,,,
"Pú’u la, á po? ngie pi gí? ?gyá ngie e Ssé ne ?náa Z?ìge yé né pi, ?bi?e ne ?gÿo menò mm??n mm??n tsets??? pi. Pi kw?? ngie à gÿo pú’u, mélà’mie pi ne ?gÿo mmó gie*lep?? ne ?z??te lá? Ng?? à gÿo, p?? mélà’mie pi la jú’ nk?? mbò?o ?záb nt??m g?i m?.","He therefore that ministereth to you the Spirit, and worketh miracles among you,doeth he itby the works of the law, or by the hearing of faith? # https://www.bible.com/fr/bible/1/GAL.3.KJV #5",,,,
"A?wà’ne Ssé z??n ?g??n ngie Ábalam la l?g yé p?? lezáb nt??m nà Ssé, tá Ssé fó ná pá’ à z?b nt??m wé ná ye pú’u, ?z?í?e yé pá’ nyì? g?ie aa mvfò yé ?gw?? nd?? nd??.","Even as Abraham believed God, and it was accounted to him for righteousness. # https://www.bible.com/fr/bible/1/GAL.3.KJV #6",,,,
"Pú’u la, pi zsé ngie p??a pie p?? záb nt??m w??b nà Ssé z?? kwà’ ng??? gie e Ssé la ka’a mbwo Ábalam.","Know ye therefore that they which are of faith, the same are the children of Abraham. # https://www.bible.com/fr/bible/1/GAL.3.KJV #7",,,,
"A?wà’ne Ssé la z??n ?t?? njÿó ?ny? ngie: E Ssé ge lá’ fó ná pá’ p??a pie é té pà Yuda w??, ge lá’ záb nt??m ná yé à z?í?e w??b pá’ p??a pie ée mvfò yé ?gw?? nd?? nd??. Áa y?? tá ?wà’ne Ssé la t?? njÿó ?ts?i w??n nk?? mbò?o mbwo Ábalam ngie: E Ssé ge lá’ c?a ná gù é né? mb??lè nà melá’ ntsèm mie ée ndùmo ssé tsetsá’.","And the scripture, foreseeing that God would justify the heathen through faith, preached before the gospel unto Abraham,saying, In thee shall all nations be blessed. # https://www.bible.com/fr/bible/1/GAL.3.KJV #8",,,,
"Ábalam la záb nt??m nà Ssé, e Ssé né? mb??lè ná yé. Pú’u la, p?? p??a gw?? pie p?? z?b nt??m nà Ssé pá’ Ábalam la, e Ssé ge né? mb??lè ná p??b y??b.",So then they which be of faith are blessed with faithful Abraham. # https://www.bible.com/fr/bible/1/GAL.3.KJV #9,,,,
"E Ssé z??n né? p?? ndòon twó p??a pie p?? l?g? lég??n ngie p?? kú’te*lep?? ?d?g ?gÿo y??b k???k???, á nue ?wà’ne Ssé g??n ngie: Nyì? l??n tè kú’te*lep?? p?? ntsèm, ?gw?? ngwò? f??’ ntsèm ?n? ?gÿo p?? mmó gie áa ts??? ?wà’ne*lep?? w??, mbà ngà? k? ndòon.","For as many as are of the works of the law are under the curse: for it is written, Cursedisevery one that continueth not in all things which are written in the book of the law to do them. # https://www.bible.com/fr/bible/1/GAL.3.KJV #10",,,,
"Mé gí? ?ny?te ny?? ts??? ?wà’ne Ssé ngie ?gw?? nyì? lel?g pá’ à g??n ngie à kú’te*lep?? ?d?g ?ku’u nyì? g?ie aa mvfò Ssé ?gw?? nd?? nd?? w??, á nue mé la ?we’e ngie: Nyì? g?ie à ku’u légw?? mvfò Ssé ?gw?? nd?? nd?? mélà’mie à z?b nt??m wé nà yé, z?? nyì? g?ie à ge lá’ gw?? wó.","But that no man is justified by the law in the sight of God,it isevident: for, The just shall live by faith. # https://www.bible.com/fr/bible/1/GAL.3.KJV #11",,,,
"Á z??n ?gwaa gw?? leku’té*lep?? tá ?gw?? wó à tè pumte nà lez?b nt??m nà Ssé w??. Á g?a nà nò*lep??, mbà mé la ?we’e ngie: Nyì? g?ie à ge lá’ kú’te*lep?? s???n ntsèm z? ge lá’ gw?? wó.","And the law is not of faith: but, The man that doeth them shall live in them. # https://www.bible.com/fr/bible/1/GAL.3.KJV #12",,,,
"Tá’, pá’ mánzsè we*lep?? gÿo pege kaa p?? ndòon la, Kristo la tó ?gÿo pege ts??? ndòon ?w??. À la zy??b ?kaa ?bi’, ?c??’? ngà? ndòon ?tí wégè. Mé g??n nue mé la ?we’e ngie: Ndòon ee twó nyì? g?ie mé kimé yé nà tÿ?.","Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written, Cursedisevery one that hangeth on a tree: # https://www.bible.com/fr/bible/1/GAL.3.KJV #13",,,,
"Y??n nò gw?? pá’??n légw?? gie e Ssé ge fó nà mmó gie Y?sô Kristo, g?ie aa nà ng??? Ábalam gÿ?, é pú né? mb??lè ná p??a pie é té pà Yuda w??, é c?a ná Ábalam, mb?? légw?? gie pege ge l?g pá’ pege záb nt??m ná Kristo é g?iin Z?ìge gie e Ssé la ka’a mbwo pege.",that the blessing of Abraham might come on the Gentiles through Jesus Christ, that we might receive the promise of the Spirit through faith. # https://www.bible.com/fr/bible/1/GAL.3.KJV #14,,,
"Mef?? mef??, n ge pí f??’ ná mà wege p??a meso?, pege zs? ngie nyì? gw?? tà ??we’e mmó ?d?g ?tÿ??g legwé sé nà ntí gie á z??te, ?gw?? ts?? nyì? lel?’, ?ké le gí?e ?k?i’i ts?? mmó m? w??.","Brethren, I speak after the manner of men; Thoughit bebut a man's covenant, yetif it beconfirmed, no man disannulleth, or addeth thereto. # https://www.bible.com/fr/bible/1/GAL.3.KJV #15",,,,
"Áa mbwo Ssé ?gí? ?gw?? p?? pú’u. E Ssé la ka’a mmó mbwo Ábalam tà mb?? mbwo nyì? g?ie Ábalam l???n ?ge gÿo zyé yé. A?wà’ne Ssé té g??n ngie mé la ka’a mbwo p??a pie à l???n ?ge gÿo tá zyé w??b pá’ f??’ gie p??a pie mé l???n ?ka’a y?? mmó à gw?? y??b la gy???n gy???n w??. Ng?? á la gw?? p?? nò tà’ nyì?, á nue mé z??n ?tó?o ts??? ?wà’ne Ssé ngie: Tà mb?? mbwo nyì? g?ie ?? ge gÿo zyé yé. W?? nyì? pi? ?gw?? Kristo.","Now to Abraham and his seed were the promises made. He saith not, And to seeds, as of many; but as of one, And to thy seed, which is Christ. # https://www.bible.com/fr/bible/1/GAL.3.KJV #16",,,,
"Pi jú’u nò gie mè? fa’a lég??n. E Ssé la gw?? zye ?ka’a nò mbwo Ábalam.*Lep?? lá’ ?gw?? tó, mbà é c??a ngù’ nkÿo lekùa lê móm ntá. É ké tè g?a nà*k??a y??b Ábalam ?byága ts?? mmó, ?d?g pú’u, ?gÿo ammó gie à la ka’a mbwo Ábalam c?a s???? w??.","And this I say,thatthe covenant, that was confirmed before of God in Christ, the law, which was four hundred and thirty years after, cannot disannul, that it should make the promise of none effect. # https://www.bible.com/fr/bible/1/GAL.3.KJV #17",,,,
"Á nue ntÿ?g?? g?ie é fóo mbwo Ssé laa pé’e mé z???’? p??*lep?? tá ?g?iin, mbà ?gw?? é le gí?e fó ná pá’ e Ssé la ka’ w??. E Ssé la z??n ?né?e tà f??’ ku’ á l?g? mmó gie à la ka’a mbwo Ábalam ?d?g ?cÿó g?m yé cÿó.","For if the inheritancebeof the law,it isno more of promise: but God gaveitto Abraham by promise. # https://www.bible.com/fr/bible/1/GAL.3.KJV #18",,,,
"Ngw?? nyì? jú’ ?z??te ngie tà Ssé laa pá’??n ?bi?e ?zába*lep?? ?tí p?? k?? w??? À l???n ?zába p?? lél?g ?gÿo nyì? f?a nò ?zsé ngie à f??a. Lep?? la fa’a yé fà’ tà ?dá’ ?kú f??’ gie nyì? Ábalam g?ie Ssé la ka’a mmó ngie áa ye ngà? la tó. Á g?a ná s??*lep??, mbà Ssé la túm mecÿ??’ pé, p?? náa mbwo mámek?m.","Wherefore thenserveththe law? It was added because of transgressions, till the seed should come to whom the promise was made;and it wasordained by angels in the hand of a mediator. # https://www.bible.com/fr/bible/1/GAL.3.KJV #19",,,,
"Mé gw?? kíme mámek?m ná nò, á l?g? ?gw?? nò gie megà? té g?iin shÿó pá’ nò ge k??? ncwò nyì? é kúu ncwò wets?? w??. Tá’ á ké ?g?a nà nò gie e Ssé la ka’ la, mbà kwà’ yé z? la tyé ?g??n.","Now a mediator is nota mediatorof one, but God is one. # https://www.bible.com/fr/bible/1/GAL.3.KJV #20",,,,
"Pá’ áa pá’??n l??n á l?g? ?gw?? ngie*lep?? Ssé la pyág shúm sie à la ka’ kek?? w??? Ng?? á té pú’u, w??. Á la gwé’e ?gw?? gie à la ná ts??*lep?? sie ?gw?? é gÿo p??a meso? gw?? wó, mbà à l??n ?gw?? nyì? l?g pá’ à kú’te*lep??, ?ku’u nyì? g?ie aa mvfò Ssé ?gw?? nd?? nd??.","Isthe law then against the promises of God? God forbid: for if there had been a law given which could have given life, verily righteousness should have been by the law. # https://www.bible.com/fr/bible/1/GAL.3.KJV #21",,,,
Tá’ ?wà’ne Ssé ny? ngie w??w?? nyì? w?? à gw?? p?? nkw??n mbwo nò tepò?. Áa pá’??n le gw?? gie ammó gie e Ssé la ka’ ge pumte p?? ná p??a pie é c?a ná Y?sô Kristo ?záb nt??m w??b nà ye.,"But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe. # https://www.bible.com/fr/bible/1/GAL.3.KJV #22",,,,
"Kristo la gwa tó tà mé záb nt??m ná ye, peg pà Yuda né ?jú’u p?? ncwò*lep?? M?sê, é n? ?kw?? wég pá’ mé kw?? megà?a ts?? la tà ?kú nà f??’ gie e Ssé l???n ?ge gÿo gÿo mé zsé Y?sô Kristo ?záb nt??m ná ye.","But before faith came, we were kept under the law, shut up unto the faith which should afterwards be revealed. # https://www.bible.com/fr/bible/1/GAL.3.KJV #23",,,,
"*Lep?? lâ pá’??n ?d?g? ?gw?? pá’ nyì? g?ie e Ssé la túm á n? ?díe wég tà ?kú f??’ gie Kristo ka tó légw?? gie peg ge záb nt??m ná ye; é l?g pú’u, e Ssé c??’ ?díe wég p?? pá’ p??a pie ée nd?? nd?? mvfò ye.","Wherefore the law was our schoolmasterto bring usunto Christ, that we might be justified by faith. # https://www.bible.com/fr/bible/1/GAL.3.KJV #24",,,,
"Tá’ à f??’??n gie Kristo ka tó, tà mé ne ?zába nt??m ná ye l??n, w?? nyì? g?ie à ka ne ?díe wég c??’? ?g?iin nò ná peg w??.","But after that faith is come, we are no longer under a schoolmaster. # https://www.bible.com/fr/bible/1/GAL.3.KJV #25",,,,
Pi metsèm z??n ?d?g pá’ pi záb nt??m ná Y?sô Kristo ?gw?? pú? Ssé.,For ye are all the children of God by faith in Christ Jesus. # https://www.bible.com/fr/bible/1/GAL.3.KJV #26,,,,
"Pi metsèm, pie pi la k?é ntse á gw?? léla nn?? ná Kristo, mà Kristo kéen ?jÿó g?í.",For as many of you as have been baptized into Christ have put on Christ. # https://www.bible.com/fr/bible/1/GAL.3.KJV #27,,,,
"Á fó pú’u, e Ssé tè gí?e ?gÿo ts?? ty?’te ná pà Yuda lâ p??a Gelekia w??, ?ké té gí?e ?gÿo nà menkw??n lâ pà ndù nn?? w??, ?ké tè gí?e gÿo nà mbà?a lâ pànzwé w??, á nue pi l?g pá’ pi la nn?? ná Y?sô Kristo ?c??’ ?gw?? p?? tà’ ntí","There is neither Jew nor Greek, there is neither bond nor free, there is neither male nor female: for ye are all one in Christ Jesus. # https://www.bible.com/fr/bible/1/GAL.3.KJV #28",,,,
"Pá’ pi ee p??a Kristo la, pi l?g? ?gw?? ng??? Ábalam, ?gw?? pàg?iin gí mmó nà shúm sie e Ssé la ka’.","And if yebeChrist's, then are ye Abraham's seed, and heirs according to the promise. # https://www.bible.com/fr/bible/1/GAL.3.KJV #29",,,,
"Pi jú’u nò gie mè fa’a lég??n. Nyì? g?ie mé la nyé shúm né ye, á pi? ?nyé ?gw?? mú?, à l??n ?dá’ ?nyé tè gw?? ndÿò, mbà à gw?? p?? pá’ nkw??n la, tà mb?? pá’ shúm sie mé la nyé, é gw?? p?? sé.","Now I say,Thatthe heir, as long as he is a child, differeth nothing from a servant, though he be lord of all; # https://www.bible.com/fr/bible/1/GAL.4.KJV #1",,,,
"À l??n ?nyé ?gw?? p?? mú? mé mú?, mbà à g?iin lé jú’ ncwò p??a pie é tóonte yé mb?? we p??a pie é líe shúm sé tà lá’ kú ngù’ gie tá we la záb.",but is under tutors and governors until the time appointed of the father. # https://www.bible.com/fr/bible/1/GAL.4.KJV #2,,,,
"Á gí? ?gw?? p?? nd?? nd?? pá’ á laa f??’ gie pege la nyé ?gw?? pá’ pú? penk?? la, pege gw?? menkw??n ?tí legì? g?ie mé gí?e m? ts??? y??n njÿó.","Even so we, when we were children, were in bondage under the elements of the world: # https://www.bible.com/fr/bible/1/GAL.4.KJV #3",,,,
"Tá’ af??’ gie Ssé la záb la gw?? tà ?ku’, á túmo Mí? we. Á gw?? tó manzwé zye yé. Á ne ?né?e ná pá’*lep?? M?sê n? ?z??te.","but when the fulness of the time was come, God sent forth his Son, made of a woman, made under the law, # https://www.bible.com/fr/bible/1/GAL.4.KJV #4",,,,
"À la tó pú’u, lécu’ p??a pie*lep?? M?sê la ne ?d?g? w??b ?gÿo menkw??n, mb?? pá’ à ge gÿo pege metsèm c??’ pú? Ssé.","to redeem them that were under the law, that we might receive the adoption of sons. # https://www.bible.com/fr/bible/1/GAL.4.KJV #5",,,,
"Áa nén?? pi ee kwa’ pú? Ssé. Ali?é áa pá’ Ssé la ?né?e Z?ìge Mí? we ts??? ment??m mégè, á Z?ìge gie á gÿo pege tó?o Ssé le Abba. Á l?g? ?g??n ngie Tá w??n.","And because ye are sons, God hath sent forth the Spirit of his Son into your hearts, crying, Abba, Father. # https://www.bible.com/fr/bible/1/GAL.4.KJV #6",,,,
"Pú’u, ?? tè gí?e ?gw?? nkw??n w??. ?? c??’ ?gw?? p?? Mí? we nzyé. Pá’ ?? c??’ ?gw?? p?? Mí? we la, e Ssé ge gÿo ná shú shúm sie à la le’e lénáa mbwo pú? pé.","Wherefore thou art no more a servant, but a son; and if a son, then an heir of God through Christ. # https://www.bible.com/fr/bible/1/GAL.4.KJV #7",,,,
"Pi laa ts?? f??’ pi tè ne ?zsé Ssé w??, ?gw?? menkw??n shúm sie mé kwa? ngie ée messé, tá’ e tè Ssé w??.","Howbeit then, when ye knew not God, ye did service unto them which by nature are no gods. # https://www.bible.com/fr/bible/1/GAL.4.KJV #8",,,,
"Á pí? ?g?a nà f??’??n pi ne ?zsé Ssé tà mè? n k?’?? fó g??n p?? ngie e Ssé ne ?zsé g?í. Á pi? ng? pi gí?e ?bi?e nzèm, á ts??? s?? shúm sie é té met?? g?iin, ?ké tè ts?? mmó g?iin? Pi kwo?o légí?e ?bi? nzèm ?z?í? menkw??n mbwo p??b keen?","But now, after that ye have known God, or rather are known of God, how turn ye again to the weak and beggarly elements, whereunto ye desire again to be in bondage? # https://www.bible.com/fr/bible/1/GAL.4.KJV #9",,,,
"Pi kwé’e nz?ì? ts?? mely?’?? nzse, ?kwé’e we ts?? mesa?, ?kwé’e we ts?? mef??’? lá’ laa we ts?? mé ngù’ t?’.","Ye observe days, and months, and times, and years. # https://www.bible.com/fr/bible/1/GAL.4.KJV #10",,,,
"M b?g?? mmó gie pi ne ?gÿo l?, ?gw?? mefà’ mie mè? n ka fa’a tsets??? pi c?a s????.","I am afraid of you, lest I have bestowed upon you labour in vain. # https://www.bible.com/fr/bible/1/GAL.4.KJV #11",,,,
"Mef?? p???n, mè? s?i?té g?i t?’, ?gie pi g?a nà menò*lep?? ?bí f??’ ná mè?. Á g?a m?, mbà mè? n déen ?c??’ pá’ pi la w??. Á laa f??’ gie n daa tsets??? pi ?n? shwó?ó g?i nò Ssé, pi tè gÿo nò tepò? ná mè? p??’?? w??.","Brethren, I beseech you, be as Iam; for Iamas yeare: ye have not injured me at all. # https://www.bible.com/fr/bible/1/GAL.4.KJV #12",,,,
Pi kímte ngie ammó gie á là gÿo n ts?i nk?? mbò?o mbwo pi à mv??g mvfò f??’ gie n da tóo mb??a pi á laa pá’ n da ne ?gu?.,Ye know how through infirmity of the flesh I preached the gospel unto you at the first. # https://www.bible.com/fr/bible/1/GAL.4.KJV #13,,,,
"Á laa f?’ó, mbà gu? c?? w???n t?’ tà mè? m bú ?bÿ??g. Tá pi ké tè w???n nyì?e, ?ké tè w???n gwá’. Tà ?c??’ pú’u, mbà pi la kúe w???n p?? pá’*cÿ??’ Ssé, kà p?? pá’ Y?sô Kristo w?? la.","And my temptation which was in my flesh ye despised not, nor rejected; but received me as an angel of God,evenas Christ Jesus. # https://www.bible.com/fr/bible/1/GAL.4.KJV #14",,,,
"Lekág g?ie à laa nt??m pi, à kéen ?pfó nz??? Mè? n ku’u lég??n ngie á la pé’e ?gwaa ?gw?? pi ts??’ menÿ??g mí ?d?g ?kúbe m???n, mbà pi la ts??’ ?d?g ?kúbe f?’ó.","Where is then the blessedness ye spake of? for I bear you record, that, ifit had beenpossible, ye would have plucked out your own eyes, and have given them to me. # https://www.bible.com/fr/bible/1/GAL.4.KJV #15",,,,
"Áa f??’??n, mbà mè? n kéen ?c??’? ngà? mbù g?i á nue mè? n k? ne shwó?ó g?i p?? nò nén?? keen?","Am I therefore become your enemy, because I tell you the truth? # https://www.bible.com/fr/bible/1/GAL.4.KJV #16",,,,
"Pi ne ?gyá ngie pàzí’i g?i menò ?w?? ne ?kwo?o g?i t?’, tá’ nkwa?á g?ie p?? g?iin ná pi é té we mbò?o w??. P?? fa’a p?? léfó nzèm mè? ?k?ile g?i pi c??’? ?kwo?o p?? w??b.","They zealously affect you,butnot well; yea, they would exclude you, that ye might affect them. # https://www.bible.com/fr/bible/1/GAL.4.KJV #17",,,,
"Tá á g?a ná mè?, mè? n kwo?o g?í, tà ?gw?? pi jÿó pì y???n ngwò? f??’ ntsèm, tà á le gw?? p?? ndà’ f??’ gie mè? n gee tsets??? pi w??.","Butit isgood to be zealously affected always inagoodthing, and not only when I am present with you. # https://www.bible.com/fr/bible/1/GAL.4.KJV #18",,,,
"Egubé y???n, n g?? ne ?gyá ng??’ s?e s?e nà pi p?? pá’ manzw? g?ie à ne ?dúme ?gee ?zyé la. Mè? n ge ké gyá ng??’ p?? pú’u, tà kú f??’ gie pi c??’ kwà’ p??a Kristo.","My little children, of whom I travail in birth again until Christ be formed in you, # https://www.bible.com/fr/bible/1/GAL.4.KJV #19",,,,
"Áa f??’??n pá’??n mè? n ne ?ts???n t?’ légw?? tsets??? pi, tá ?zsé ntí gie ?gw?? n d?g shwó?ó g?i nò pú’u. Á nue n ne ?kwa?te menò mí ?c??’? ?b??g? p??g.","I desire to be present with you now, and to change my voice; for I stand in doubt of you. # https://www.bible.com/fr/bible/1/GAL.4.KJV #20",,,,
"Pi pie pi ne ?kwo?o ngie*lep?? sá’a g?í, pi shwó?ó w???n: Pi tè ne ?jú’u mmó gie*lep?? ?w?? g??n w?? ka?","Tell me, ye that desire to be under the law, do ye not hear the law? # https://www.bible.com/fr/bible/1/GAL.4.KJV #21",,,,
"Mé la ?we’e ts??? ?wà’ne*lep?? ?w?? ngie: Ábalam la g?iin gubé yép??a, tà’ gw?? g?ie à la zyé ná manzwé g?ie à laa nkw??n, wets?? gw?? g?ie à la zyé ná manzw? g?ie à la tá.","For it is written, that Abraham had two sons, the one by a bondmaid, the other by a freewoman. # https://www.bible.com/fr/bible/1/GAL.4.KJV #22",,,,
Mí? nkw??n laa g?ie p??a meso? la kwo? kwo? ?zyé yé. Mí? manzw? g?ie à la tá gw?? g?ie mé la gwaa zyé yé á gw?? p?? nò gie e Ssé la ka’.,But hewho wasof the bondwoman was born after the flesh, but he of the freewomanwasby promise. # https://www.bible.com/fr/bible/1/GAL.4.KJV #23,,,
"Y??n nò ngw?? mé gí? ?jú’u nà ts?? shÿó. Panzw? p??n mép??a l?g? ?ny??*k??a sép??a. Ndù? mvfò*k??a gw?? gie á la fó ndùm lekw?’?? Sinay. Y??*k??a gÿo, mé zyé gubé é gw?? p?? menkw??n. Á l?g? ?gw?? Agar.","Which things are an allegory: for these are the two covenants; the one from the mount Sinai, which gendereth to bondage, which is Agar. # https://www.bible.com/fr/bible/1/GAL.4.KJV #24",,,,
"Á gí? ?gw?? ngie lezí? Agar ts?é’e nà se sinay, é lekw?’?? sie ée Arabia. Agar l?g? pá’??n ?gw?? tÿ?so?o Yerósalem ye f??’??n, á gie pâ p??a pé metsèm gw?? p?? menkw??n*lep??.","For this Agar is mount Sinai in Arabia, and answereth to Jerusalem which now is, and is in bondage with her children. # https://www.bible.com/fr/bible/1/GAL.4.KJV #25",,,,
"Tá’ Yerósalem we tÿ? lepwó à tè nkw??n w??, yé z?? má wege.","But Jerusalem which is above is free, which is the mother of us all. # https://www.bible.com/fr/bible/1/GAL.4.KJV #26",,,,
Á nue gubé manzw? g?ie mé la gwá’a ye ge gy???n c?a pe manzw? g?ie à g?iin nd?m.,For the desolate hath many more children than she which hath an husband. # https://www.bible.com/fr/bible/1/GAL.4.KJV #27,,,,
"Mef?? p???n, á g?a ná pi, mbà pi ee gubé gie mé la zyé w??b á nà ntí gie Ssé la ka’, é nd?? nd?? pá’ Esâg la.","Now we, brethren, as Isaac was, are the children of promise. # https://www.bible.com/fr/bible/1/GAL.4.KJV #28",,,,
"Tá’ pá’ á laa ts?? f??’, mú? g?ie mé la kwo? kwo? ?zyé ne ?k??e g?ie Z?ìge Ssé z?? la gÿo tá mé zyé yé la, á gí? ?gw?? ly??’??n ?gw?? p?? pú’u.","But as then he that was born after the flesh persecuted himthat was bornafter the Spirit, even soit isnow. # https://www.bible.com/fr/bible/1/GAL.4.KJV #29",,,,
A?wà’ne Ssé z??n ?g??n ngie k?? l?? Á g??n ngie: Jwo?o manzw? g?ie aa nkw??n p?? mí? we. Á nue mí? nkw??n tè g?iin ts?? nò nà tÿ?g?? tá w?b pá’ mí? manzw? g?ie mé la tá w??.,Nevertheless what saith the scripture? Cast out the bondwoman and her son: for the son of the bondwoman shall not be heir with the son of the freewoman. # https://www.bible.com/fr/bible/1/GAL.4.KJV #30,,,,
"Mef?? p???n, áa mmó gie á gÿo pege té gubé manzw? g?ie aa nkw??n w??, pege gw?? p?? gubé manzw? g?ie mé la tá.","So then, brethren, we are not children of the bondwoman, but of the free. # https://www.bible.com/fr/bible/1/GAL.4.KJV #31",,,,
"Kristo la zá’ nkÿo pu’ ló? pege légw?? gie pege ge gw?? p??a pie é kw?’ ?ts??? nkw??n*lep??. Pú’u la, pi kú’te w?? légw?? mbo?ó, ?b???n légí?e ?z?í? ats?? mmó gí?e ?d?g? g?i ?gÿo menkw??n.","Stand fast therefore in the liberty wherewith Christ hath made us free, and be not entangled again with the yoke of bondage. # https://www.bible.com/fr/bible/1/GAL.5.KJV #1",,,,
"Mè? P?l, tà mè? shwó?ó g?í. Pi l??n ?z??te ngie mé pú’u g?í, tá pi gw?? p??a Ssé, mbà mmó gie Kristo la gÿo ?tí twó sí té gí?e k?éte g?i nà ts?? mmó w??.","Behold, I Paul say unto you, that if ye be circumcised, Christ shall profit you nothing. # https://www.bible.com/fr/bible/1/GAL.5.KJV #2",,,,
"Mè? n ge gí?e g??n nà ts?? lég?a á mbwo w?? nyì? w?? g?ie à z??te ngie mé pú’u yé, ngie à g?iin légÿo shúm ntsèm sie*lep?? M?sê ne ?z??te.","For I testify again to every man that is circumcised, that he is a debtor to do the whole law. # https://www.bible.com/fr/bible/1/GAL.5.KJV #3",,,,
"Pi pie pi ne fa’a légÿo shúm sie*lep?? ?w?? ne ?z??te tá l?g ku’ p??a pie ée mvfò Ssé ?gw?? nd?? nd??, pi ee p??’?? ?d?g? ?gw?? p??a pie pi f?g nn?? ná Kristo. Á gw?? pú’u pi l?g? s???n nò gie e Ssé k?’?? l?g cÿó g?m gí cÿó.","Christ is become of no effect unto you, whosoever of you are justified by the law; ye are fallen from grace. # https://www.bible.com/fr/bible/1/GAL.5.KJV #4",,,,
"Á g?a ná peg pie peg záb nt??m ná Kristo, peg ne ?jú’u nò p?? mbwo Z?ìge Nd?al??a, á ne ?gÿo peg ne ?z?í’te ngie e Ssé ge gÿo gÿo peg gw?? p??a pie ée mvfò ye ?gw?? nd?? nd??.",For we through the Spirit wait for the hope of righteousness by faith. # https://www.bible.com/fr/bible/1/GAL.5.KJV #5,,,,
"Á nue nyì? l??n ?da nn?? ná Kristo, mbà mé lépú’u yé kà lényé té pú’u yé w??, á té ts?? nò w??. Lez?b nt??m ná Kristo ?bi? ?kwo? p??a meso? z?? nò.","For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love. # https://www.bible.com/fr/bible/1/GAL.5.KJV #6",,,,
"Pi ka ne ?gee lê mvfò kwà’ mbo?ó, aw?? t??’? g?i légí?e ?jú’u nò gie áa nén?? ?tÿ??g? kwò m??",Ye did run well, who did hinder you that ye should not obey the truth? # https://www.bible.com/fr/bible/1/GAL.5.KJV #7,,,
"W?? véle g?ie mé la shwó?ó g?i tà pi z?í?, à l???n t? fóo mbwo Ssé g?ie à ne ?tó?o g?i w??.",This persuasioncomethnot of him that calleth you. # https://www.bible.com/fr/bible/1/GAL.5.KJV #8,,,,
Pi l??n ?b???n té pò? á k??? kwóonte g?ie à ne fa’a lene?é.,A little leaven leaveneth the whole lump. # https://www.bible.com/fr/bible/1/GAL.5.KJV #9,,,,
"Tá’ C??ap??a k? ne ?gÿo mè? n zsé ngie pi tè k?i’i ts?? mmó nà mmó gie n da zí’i g?i w??. N gi?é n? ?zsé ngie nyì? g?ie à ne ?ma’a tág tsets??? pi, à l??n ?gw?? p?? w?? w???, mbà Ssé ge gÿo zá’ ntsa? ye.","I have confidence in you through the Lord, that ye will be none otherwise minded: but he that troubleth you shall bear his judgment, whosoever he be. # https://www.bible.com/fr/bible/1/GAL.5.KJV #10",,,,
"Mef?? p???n, n gwé’e ?gí?e ne sá’a ngie p??a gÿo mé pú’u w??b, mbà pà Yuda gí?e ?k??e w???n mélà’a k??? Mbà le gw?? g?ie Kristo la kwé nà tÿ? nk? à tè gí?e ?gege w??b gw??.","And I, brethren, if I yet preach circumcision, why do I yet suffer persecution? then is the offence of the cross ceased. # https://www.bible.com/fr/bible/1/GAL.5.KJV #11",,,,
"Á g?a ná p??a pie é pue g?i nà nò lépú’u nyì?, p?? l?g? nò y??b ?gee mvfò, tà kwà’ p??b sele sh?? twó mbùm y??b.",I would they were even cut off which trouble you. # https://www.bible.com/fr/bible/1/GAL.5.KJV #12,,,,
"Mef?? p???n, á g?a ná pi, mbà Ssé la tó?o g?i pá’ pi ge ts??? nkw??n*lep??. Tá’ tà pi z??’ pú’u, ?gÿo mmó gie mbùm gi z? sá’a gwí pi gÿo. Tà ?c??’ pú’u, pi l?g pá’ nkwò?e ee tsets??? pi ?k?éte menn?? mí.","For, brethren, ye have been called unto liberty; onlyusenot liberty for an occasion to the flesh, but by love serve one another. # https://www.bible.com/fr/bible/1/GAL.5.KJV #13",,,,
Á nue anò gie á pú ?kw?? metwó menò mie ée ts???*lep?? g??n ngie: Kwo?o f?? gù nyì? meso? pá’ twó mbùm jú.,"For all the law is fulfilled in one word,evenin this; Thou shalt love thy neighbour as thyself. # https://www.bible.com/fr/bible/1/GAL.5.KJV #14",,,,
"Tá ?gw?? gie pi l??n ne ?gÿo pá’ men???n mbà’ pie ée ssé ne ?dúmte membùm m??b, ?né?e mef???, pi laga twó gí, á nue pi ee pú’u, ?c??’? fa’a p?? léc??te menn?? mí.","But if ye bite and devour one another, take heed that ye be not consumed one of another. # https://www.bible.com/fr/bible/1/GAL.5.KJV #15",,,,
"N ge g??n né pi ngie: Pi z?í? Z?ìge Ssé z? tsyeen g?i nà g?i le gw??, pú’u pi é légÿo menò tepò? mie mbùm gí tsóte g?i ngie pi gÿo w??.","ThisI say then, Walk in the Spirit, and ye shall not fulfil the lust of the flesh. # https://www.bible.com/fr/bible/1/GAL.5.KJV #16",,,,
